Uniprot.ID,V_log2.i._TMT_1,V_log2.i._TMT_3,V_log2.i._TMT_5,V_log2.i._TMT_7,V_log2.i._TMT_9,D_log2.i._TMT_2,D_log2.i._TMT_4,D_log2.i._TMT_6,D_log2.i._TMT_8,D_log2.i._TMT_10
Q5TC82,20.97631664,20.8893783,20.9418226,20.9950742,20.98467557,20.84477282,20.83402614,20.933874,20.92506232,20.86771819
P17812,24.75576405,24.85166879,24.83232242,24.75752256,24.72906683,24.88492385,24.91170857,24.83842707,24.79490178,24.91318962
Q7KYR7,18.54440838,18.48404173,18.57182488,18.59463116,18.52875816,18.41341963,18.35851855,18.62146185,18.33545958,18.42084723
P31946,25.85577064,25.75182388,25.84684886,25.78804232,25.8007704,25.72150935,25.7532281,25.80219624,25.66497337,25.69239326
Q7LBR1,24.22586685,24.21455565,24.15358708,24.26036585,24.20226808,24.16121902,24.19552392,24.13619405,24.16199952,24.15358708
Q3SY56,18.71340995,18.57695206,18.66605846,18.87850727,18.85131263,18.58649497,18.53940831,18.73053625,18.48404173,18.50659915
Q99719,24.66599977,24.5994317,24.65036442,24.69605628,24.69131632,24.6151683,24.65259756,24.61307787,24.58232249,24.56118166
Q9NX74,19.77517084,19.65446961,19.68382874,19.56904276,19.64861012,19.815376,19.8581177,19.66200127,19.73330924,19.815376
Q9UBN7,21.66411678,21.76025523,21.77518644,21.66411678,21.59191332,21.83978259,21.86520053,21.80533168,21.69328131,21.84151146
Q15649,21.97928741,22.05425047,22.0110088,22.06778418,21.99819039,21.91667837,21.99342646,22.01384761,21.90719265,21.87177997
Q5VWN6,18.45343239,18.32464678,18.40701669,18.3154784,18.51667933,18.29421648,18.2669049,18.32848699,18.25412832,18.09000968
Q06609,21.25766241,21.39707019,21.3089937,21.32610458,21.25302418,21.43800166,21.42524749,21.35494454,21.33026131,21.36865484
O94915,16.97787715,16.8319409,16.79226946,17.12498994,16.8210259,16.7595541,16.75029766,16.87553339,16.63109107,16.77590603
